Agency,URL
CAA Sports,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/CAA_Sports.png
Shai Gilgeous-Alexander MGMT,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
Excel Sports Management,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/Excel_.png
Priority Sports & Entertainment,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/Priority_.png
Klutch Sports Group,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/Klutch.png
LIFT Sports Management,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/LIFT_.png
Shetellia Riley,https://cdn.nba.com/headshots/nba/latest/1040x760/202681.png
Wasserman,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/wasserman_.png
Equity Basketball,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/Equity_.png
One Motive Sports,https://onemotivesports.com/assets/images/image01.png?v=ceedeaa8
Gersh Sports,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/Gersh%20Sports.png
Life Sports Agency,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/life.png
AMR Agency,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_yjW25-36wSHqz5QSJjP4iUr2wYK79PBPIQ&s
Glushon Sports Management,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/glushon_.png
Comsport,https://media.licdn.com/dms/image/v2/C4E0BAQF-p2AGUoZCdQ/company-logo_200_200/company-logo_200_200/0/1639112588507/comsport_logo?e=2147483647&v=beta&t=KRNPXiqW7PVnaDdxBGIhaaV13I3RMK3QGDb7If-dXmg
Roc Nation Sports,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRL8mWnEZTnfwv8BQ28dtRS4gVPkh0nBjgvOA&s
Octagon,https://mma.prnewswire.com/media/699432/Octagon_Logo.jpg?p=facebook
Verus Management,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhmrVyCE7XJ4nX6a96EeAfoSCXfPGQefiT9Q&s
Hazan Sports Management,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa5gWnV-y5Wye8_jt9v9qmnYKsPk28GS99Pw&s
WME Sports,https://raw.githubusercontent.com/BryanDfor3/free-agency-analysis/refs/heads/main/images/WME_.png
Landmark Sports Agency,https://lh3.googleusercontent.com/proxy/RVXnOoAkelJIfSlllblVBf4h_4EmTKH2Fpsj2xegbProUJhDwCXkG9kCurCt4TB-who7q0hWeNj8pgchLnwcmIQfdI5pMG4S2MDYui-j8Vqv6z7sFfpl5vfX44w4sjo3_kPPw7V06gUK0oFsfw
