nba_id,Team,Player,DPM_rank,EPM_rank,LEBRON_rank,consensus_rank,salary,cap_pct,Callouts,Unsigned
1628983,Oklahoma City Thunder,Shai Gilgeous-Alexander,3,1,1,1.666666667,35859950,0.2551,Y,
203999,Denver Nuggets,Nikola Jokic,2,2,2,2,51415938,0.3657,,
203507,Milwaukee Bucks,Giannis Antetokounmpo,1,4,4,3,48787676,0.3470,,
1628369,Boston Celtics,Jayson Tatum,5,8,3,5.333333333,34848340,0.2479,,
1628378,Cleveland Cavaliers,Donovan Mitchell,7,7,8,7.333333333,35410310,0.2519,,
1629029,Los Angeles Lakers,Luka Doncic,4,3,16,7.666666667,43031940,0.3061,Y,Y
1630169,Indiana Pacers,Tyrese Haliburton,12,9,6,9,42176000,0.3000,,
201939,Golden State Warriors,Stephen Curry,10,6,15,10.33333333,55761216,0.3966,,
1627826,Los Angeles Clippers,Ivica Zubac,16,10,9,11.66666667,11743210,0.0835,,
1630162,Minnesota Timberwolves,Anthony Edwards,11,22,7,13.33333333,42176400,0.3000,,
1630596,Cleveland Cavaliers,Evan Mobley,17,12,14,14.33333333,11227809,0.0799,,
201935,Los Angeles Clippers,James Harden,9,33,5,15.66666667,33653846,0.2394,Y,
1641705,San Antonio Spurs,Victor Wembanyama,8,5,34,15.66666667,12768960,0.0908,,
203076,Dallas Mavericks,Anthony Davis,13,13,22,16,43219440,0.3074,,
1626157,New York Knicks,Karl-Anthony Towns,18,26,10,18,49205800,0.3500,,
1628401,Boston Celtics,Derrick White,22,25,11,19.33333333,20017429,0.1424,,
1628386,Cleveland Cavaliers,Jarrett Allen,27,19,12,19.33333333,20000000,0.1423,,
1631114,Oklahoma City Thunder,Jalen Williams,33,16,13,20.66666667,4775760,0.0340,Y,Y
1629636,Cleveland Cavaliers,Darius Garland,39,20,19,26,36725670,0.2612,,
202710,Golden State Warriors,Jimmy Butler III,25,15,41,27,48798677,0.3471,,
1628991,Memphis Grizzlies,Jaren Jackson Jr.,41,14,29,28,25257798,0.1797,Y,
1628973,New York Knicks,Jalen Brunson,19,43,30,30.66666667,24960001,0.1775,,
203081,Milwaukee Bucks,Damian Lillard,36,31,27,31.33333333,48787676,0.3470,,
1627783,Indiana Pacers,Pascal Siakam,35,28,31,31.33333333,42176000,0.3000,,
1630532,Orlando Magic,Franz Wagner,29,18,48,31.66666667,7007092,0.0498,,
2544,Los Angeles Lakers,LeBron James,26,56,17,33,48728845,0.3466,,
204001,Boston Celtics,Kristaps Porzingis,24,17,62,34.33333333,29268293,0.2082,Y,
203497,Minnesota Timberwolves,Rudy Gobert,15,57,33,35,43827587,0.3117,,
1629639,Miami Heat,Tyler Herro,49,35,26,36.66666667,29000000,0.2063,,
1641708,Houston Rockets,Amen Thompson,48,30,35,37.66666667,9249960,0.0658,,
202695,Los Angeles Clippers,Kawhi Leonard,6,11,97,38,49350000,0.3510,,
1630202,Boston Celtics,Payton Pritchard,55,40,21,38.66666667,6696429,0.0476,,
201142,Phoenix Suns,Kevin Durant,32,32,56,40,51179021,0.3640,Y,Y
1627750,Denver Nuggets,Jamal Murray,21,61,40,40.66666667,36016200,0.2562,,
1630595,Detroit Pistons,Cade Cunningham,78,21,28,42.33333333,13940658,0.0992,,
1630578,Houston Rockets,Alperen Sengun,70,36,23,43,5424654,0.0386,,
