RK,NAME,TEAM,SALARY
1,Stephen Curry,Golden State Warriors,55761216
2,Joel Embiid,Philadelphia 76ers,51415938
3,Nikola Jokic,Denver Nuggets,51415938
4,Kevin Durant,Phoenix Suns,51179021
5,Bradley Beal,Phoenix Suns,50203930
6,Kawhi Leonard,LA Clippers,49350000
7,Devin Booker,Phoenix Suns,49205800
8,Paul George,Philadelphia 76ers,49205800
9,Karl-Anthony Towns,New York Knicks,49205800
10,Jaylen Brown,Boston Celtics,49205800
11,Jimmy Butler III,Golden State Warriors,48798677
12,Giannis Antetokounmpo,Milwaukee Bucks,48787676
13,Damian Lillard,Milwaukee Bucks,48787676
14,LeBron James,Los Angeles Lakers,48728845
15,Zach LaVine,Sacramento Kings,44531940
16,Rudy Gobert,Minnesota Timberwolves,43827587
17,Anthony Davis,Dallas Mavericks,43219440
18,Luka Doncic,Los Angeles Lakers,43031940
19,Trae Young,Atlanta Hawks,43031940
20,Fred VanVleet,Houston Rockets,42846615
21,Lauri Markkanen,Utah Jazz,42176400
22,Anthony Edwards,Minnesota Timberwolves,42176400
23,Tyrese Haliburton,Indiana Pacers,42176000
24,Pascal Siakam,Indiana Pacers,42176000
25,Kyrie Irving,Dallas Mavericks,41000000
26,Domantas Sabonis,Sacramento Kings,40500000
27,Ja Morant,Memphis Grizzlies,36725670
28,Darius Garland,Cleveland Cavaliers,36725670
29,Zion Williamson,New Orleans Pelicans,36725670
30,OG Anunoby,New York Knicks,36637931
31,Brandon Ingram,New Orleans Pelicans,36016200
32,Jamal Murray,Denver Nuggets,36016200
33,Shai Gilgeous-Alexander,Oklahoma City Thunder,35859950
34,Michael Porter Jr.,Denver Nuggets,35859950
35,Donovan Mitchell,Cleveland Cavaliers,35410310
36,LaMelo Ball,Charlotte Hornets,35147000
37,Tyrese Maxey,Philadelphia 76ers,35147000
38,De'Aaron Fox,San Antonio Spurs,34848340
39,Bam Adebayo,Miami Heat,34848340
40,Jayson Tatum,Boston Celtics,34848340
41,Desmond Bane,Memphis Grizzlies,34005250
42,Deandre Ayton,Portland Trail Blazers,34005126
43,James Harden,LA Clippers,33653846
44,CJ McCollum,New Orleans Pelicans,33333333
45,Julius Randle,Minnesota Timberwolves,33073920
46,Immanuel Quickley,Toronto Raptors,32500000
47,Khris Middleton,Washington Wizards,31666676
48,Isaiah Hartenstein,Oklahoma City Thunder,30000000
49,Jrue Holiday,Boston Celtics,30000000
50,Jerami Grant,Portland Trail Blazers,29793104
51,Jordan Poole,Washington Wizards,29651786
52,Dejounte Murray,New Orleans Pelicans,29535801
53,Devin Vassell,San Antonio Spurs,29347826
54,Kristaps Porzingis,Boston Celtics,29268293
55,Tyler Herro,Miami Heat,29000000
56,Nic Claxton,Brooklyn Nets,27556817
57,Miles Bridges,Charlotte Hornets,27173913
58,John Collins,Utah Jazz,26580000
59,Andrew Wiggins,Miami Heat,26276786
60,Anfernee Simons,Portland Trail Blazers,25892857
61,RJ Barrett,Toronto Raptors,25794643
62,Tobias Harris,Detroit Pistons,25365854
63,Jaren Jackson Jr.,Memphis Grizzlies,25257798
64,Jonathan Isaac,Orlando Magic,25000000
65,Jalen Brunson,New York Knicks,24960001
66,Terry Rozier,Miami Heat,24924126
67,Draymond Green,Golden State Warriors,24107143
68,DeMar DeRozan,Sacramento Kings,23400000
69,Mikal Bridges,New York Knicks,23300000
70,Jaden McDaniels,Minnesota Timberwolves,23017242
71,Brook Lopez,Milwaukee Bucks,23000000
72,Bruce Brown,New Orleans Pelicans,23000000
73,Aaron Gordon,Denver Nuggets,22841455
74,Kentavious Caldwell-Pope,Orlando Magic,22757000
75,Malcolm Brogdon,Washington Wizards,22500000
76,Cameron Johnson,Brooklyn Nets,22500000
77,Kyle Kuzma,Milwaukee Bucks,22410605
78,Clint Capela,Atlanta Hawks,22265280
79,Dillon Brooks,Houston Rockets,22255493
80,De'Andre Hunter,Cleveland Cavaliers,21696429
81,Lonzo Ball,Chicago Bulls,21395348
82,Marcus Smart,Washington Wizards,20210285
83,Derrick White,Boston Celtics,20017429
84,Jarrett Allen,Cleveland Cavaliers,20000000
85,Nikola Vucevic,Chicago Bulls,20000000
86,Myles Turner,Indiana Pacers,19928500
87,Jakob Poeltl,Toronto Raptors,19500000
88,Duncan Robinson,Miami Heat,19406000
89,Norman Powell,LA Clippers,19241379
90,Bojan Bogdanovic,Brooklyn Nets,19032850
91,Keldon Johnson,San Antonio Spurs,19000000
92,D'Angelo Russell,Brooklyn Nets,18692307
93,Patrick Williams,Chicago Bulls,18500000
94,Collin Sexton,Utah Jazz,18350000
95,Josh Hart,New York Knicks,18144000
96,Jusuf Nurkic,Charlotte Hornets,18125000
97,Harrison Barnes,San Antonio Spurs,18000000
98,Malik Monk,Sacramento Kings,17405202
99,Bogdan Bogdanovic,LA Clippers,17260000
100,Rui Hachimura,Los Angeles Lakers,17000000
101,Kevin Huerter,Chicago Bulls,16830357
102,Zach Collins,Chicago Bulls,16741200
103,Caris LeVert,Atlanta Hawks,16615384
104,Luguentz Dort,Oklahoma City Thunder,16500000
105,Tim Hardaway Jr.,Detroit Pistons,16193183
106,Davis Bertans,Charlotte Hornets,16000000
107,Klay Thompson,Dallas Mavericks,15873016
108,Deni Avdija,Portland Trail Blazers,15625000
109,Grayson Allen,Phoenix Suns,15625000
110,P.J. Washington,Dallas Mavericks,15500000
111,Max Strus,Cleveland Cavaliers,15212068
112,Isaiah Stewart,Detroit Pistons,15000000
113,Dorian Finney-Smith,Los Angeles Lakers,14924168
114,Mitchell Robinson,New York Knicks,14318182
115,Jordan Clarkson,Utah Jazz,14092577
116,Onyeka Okongwu,Atlanta Hawks,14000000
117,Naz Reid,Minnesota Timberwolves,13986432
118,Cade Cunningham,Detroit Pistons,13940658
119,Daniel Gafford,Dallas Mavericks,13394160
120,Grant Williams,Charlotte Hornets,13025250
121,Dennis Schroder,Detroit Pistons,13025250
122,Isaiah Joe,Oklahoma City Thunder,12991650
123,Austin Reaves,Los Angeles Lakers,12976362
124,Herbert Jones,New Orleans Pelicans,12976362
125,Obi Toppin,Indiana Pacers,12946429
126,Cole Anthony,Orlando Magic,12900000
127,De'Anthony Melton,Golden State Warriors,12822000
128,Kelly Olynyk,New Orleans Pelicans,12804878
129,Victor Wembanyama,San Antonio Spurs,12768960
130,Josh Green,Charlotte Hornets,12654321
131,Devonte' Graham,Portland Trail Blazers,12650000
132,Richaun Holmes,Washington Wizards,12648321
133,Steven Adams,Houston Rockets,12600000
134,Bobby Portis,Milwaukee Bucks,12578286
135,Zaccharie Risacher,Atlanta Hawks,12569040
136,Marvin Bagley III,Memphis Grizzlies,12500000
137,Brandon Clarke,Memphis Grizzlies,12500000
138,Jalen Green,Houston Rockets,12483048
139,Robert Williams III,Portland Trail Blazers,12428571
140,Paolo Banchero,Orlando Magic,12160800
141,Coby White,Chicago Bulls,12000000
142,Wendell Carter Jr.,Orlando Magic,11950000
143,Ivica Zubac,LA Clippers,11743210
144,Donte DiVincenzo,Minnesota Timberwolves,11445000
145,Brandon Miller,Charlotte Hornets,11424600
146,Terance Mann,Atlanta Hawks,11423077
147,Alex Sarr,Washington Wizards,11245680
148,Evan Mobley,Cleveland Cavaliers,11227809
149,Larry Nance Jr.,Atlanta Hawks,11205000
150,Matisse Thybulle,Portland Trail Blazers,11025160
151,Moritz Wagner,Orlando Magic,11000000
152,Gabe Vincent,Los Angeles Lakers,11000000
153,Maxi Kleber,Dallas Mavericks,11000000
154,Aaron Nesmith,Indiana Pacers,11000000
155,Chet Holmgren,Oklahoma City Thunder,10880640
156,Chris Boucher,Toronto Raptors,10810000
157,Jarred Vanderbilt,Los Angeles Lakers,10714286
158,Aaron Wiggins,Oklahoma City Thunder,10514017
159,Chris Paul,San Antonio Spurs,10460000
160,Scoot Henderson,Portland Trail Blazers,10259160
161,Isaac Okoro,Cleveland Cavaliers,10185185
162,Scottie Barnes,Toronto Raptors,10130980
163,Reed Sheppard,Houston Rockets,10098960
164,Mike Conley,Minnesota Timberwolves,9975962
165,Jonas Valanciunas,Sacramento Kings,9900000
166,Alex Caruso,Oklahoma City Thunder,9890000
167,Royce O'Neale,Phoenix Suns,9821429
168,Jabari Smith Jr.,Houston Rockets,9770880
169,Derrick Jones Jr.,LA Clippers,9523810
170,Al Horford,Boston Celtics,9500000
171,Pat Connaughton,Milwaukee Bucks,9423869
172,T.J. McConnell,Indiana Pacers,9300000
173,Luke Kennard,Memphis Grizzlies,9250000
174,Amen Thompson,Houston Rockets,9249960
175,Jalen Suggs,Orlando Magic,9188385
176,Stephon Castle,San Antonio Spurs,9131760
177,Gary Payton II,Golden State Warriors,9130000
178,Tre Jones,Chicago Bulls,9104167
179,Goga Bitadze,Orlando Magic,9057971
180,Zeke Nnaji,Denver Nuggets,8888889
181,Keegan Murray,Sacramento Kings,8809560
182,Kyle Anderson,Miami Heat,8780488
183,Buddy Hield,Golden State Warriors,8780488
184,Naji Marshall,Dallas Mavericks,8571429
