Player,Team,Pos,Height,Weight,Birth Date,Age,Agency,Agent,Contractual Status,YOS
Max Abmas,Salt Lake City Stars,PG,5-11,162,"Apr 2, 2001",24,Wasserman,Josh Beauregard-Bell,Unrestricted Free Agent,0
Precious Achiuwa,New York Knicks,PF,6-8,243,"Sep 19, 1999",25,Octagon,"Christopher Gaston
Alex Saratsis","New York Knicks, Jul 30, 2024",4
Steven Adams,Houston Rockets,C,6-11,265,"Jul 20, 1993",31,Wasserman,Darren Matsubara,"Houston Rockets, Jun 14, 2025",11
Bam Adebayo,Miami Heat,C-F,6-9,255,"Jul 18, 1997",27,Octagon,Alex Saratsis,"Miami Heat, Jul 6, 2024",7
Ochai Agbaji,Toronto Raptors,SG,6-5,215,"Apr 20, 2000",25,Octagon,Alex Saratsis,"Toronto Raptors, Jul 2, 2022",2
James Akinjo,Wisconsin Herd,PG,6-1,190,"Nov 27, 2000",24,Arete Sports Agency,Andre Buck,Unrestricted Free Agent,0
Santi Aldama,Memphis Grizzlies,F-C,7-0,215,"Jan 10, 2001",24,CAA Sports,"Austin Brown
Steven Heumann
Aaron Mintz
Max Saidman","Memphis Grizzlies, Aug 8, 2021",3
Trey Alexander,Denver Nuggets,SG,6-4,185,"May 2, 2003",22,Wasserman,"Thaddeus Foucher
Aaron Klevan
Joe Smith","Denver Nuggets, Jul 3, 2024 Two-Way",0
Nickeil Alexander-Walker,Minnesota Timberwolves,SG,6-5,205,"Sep 2, 1998",26,CAA Sports,Aaron Mintz,"Minnesota Timberwolves, Jul 9, 2023",5
Grayson Allen,Phoenix Suns,SG,6-4,198,"Oct 8, 1995",29,CAA Sports,"Steven Heumann
Aaron Mintz
Mitch Nathan","Phoenix Suns, Apr 16, 2024",6
Jarrett Allen,Cleveland Cavaliers,C,6-9,243,"Apr 21, 1998",27,QC Sports,"Derrick Powell
Maxwell Wiepking","Cleveland Cavaliers, Aug 2, 2024",7
Kadeem Allen,Unieuro Forli,PG,6-3,200,"Jan 15, 1993",32,Young Money APAA,Adie von Gontard,Unrestricted Free Agent,3
Derrick Alston Jr.,Virtus Bologna,SG,6-9,190,"Sep 17, 1997",27,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller",Unrestricted Free Agent,0
Jose Alvarado,New Orleans Pelicans,PG,6-0,179,"Apr 12, 1998",27,Octagon,Ron Shade,"New Orleans Pelicans, Sep 30, 2024",3
Kyle Anderson,Miami Heat,F-G,6-9,230,"Sep 20, 1993",31,Wasserman,Thaddeus Foucher,"Miami Heat, Jul 6, 2024",10
Giannis Antetokounmpo,Milwaukee Bucks,SF/PG,6-11,243,"Dec 6, 1994",30,Octagon,"Jeff Austin
Alex Saratsis","Milwaukee Bucks, Oct 23, 2023",11
Cole Anthony,Memphis Grizzlies,PG,6-2,185,"May 15, 2000",25,Excel Sports Management,Javon Phillips,"Memphis Grizzlies, Oct 23, 2023",4
OG Anunoby,New York Knicks,F-G,6-7,240,"Jul 17, 1997",27,CAA Sports,"Austin Brown
Drew Morrison
Sam Rose","New York Knicks, Jul 6, 2024",7
Ryan Arcidiacono,Windy City Bulls,PG,6-3,195,"Mar 26, 1994",31,Bell Management International,Joel Bell,Unrestricted Free Agent,7
Mark Armstrong,Long Island Nets,PG,6-2,180,"Feb 21, 2004",21,,Roger Montgomery,Unrestricted Free Agent,0
Taran Armstrong,Golden State Warriors,SG,6-5,190,"Jan 15, 2002",23,Lighthouse Sports Management,Daniel Moldovan,Restricted Free Agent (Golden State Warriors),0
Deni Avdija,Portland Trail Blazers,PF,6-9,240,"Jan 3, 2001",24,,"Maurizio Balducci
Doug Neustadt","Portland Trail Blazers, Oct 23, 2023",4
Deandre Ayton,Portland Trail Blazers,C,7-0,252,"Jul 23, 1998",26,WME Sports,"Bill Duffy
Nima Namakian","Portland Trail Blazers, Jul 18, 2022",6
Armando Bacot,Memphis Hustle,C,6-10,240,"Mar 6, 2000",25,Excel Sports Management,Javon Phillips,Unrestricted Free Agent,0
Ibou Badji,Wisconsin Herd,C,7-0,240,"Oct 13, 2002",22,,"Sammy Meija
Jason Ranne","Portland Trail Blazers, Nov 22, 2023 Two-Way",2
Marvin Bagley III,Memphis Grizzlies,PF,6-10,235,"Mar 14, 1999",26,Excel Sports Management,Jeff Schwartz,"Memphis Grizzlies, Jul 6, 2022",6
Amari Bailey,Iowa Wolves,SG,6-4,189,"Feb 17, 2004",21,LIFT Sports Management,Kevin Bradbury,"Charlotte Hornets, Jul 14, 2023 Two-Way",1
Patrick Baldwin Jr.,Los Angeles Clippers,PF,6-9,220,"Nov 18, 2002",22,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller
Andy Shiffman","Los Angeles Clippers, Mar 1, 2025 Two-Way",2
Renaldo Balkman,Vaqueros de Bayamon,SF/PF,6-8,208,"Jul 14, 1984",40,,Alberto Maldonado,Unrestricted Free Agent,6
LaMelo Ball,Charlotte Hornets,PG,6-7,180,"Aug 22, 2001",23,Roc Nation Sports,Sam Permut,"Charlotte Hornets, Jul 6, 2023",4
Lonzo Ball,Chicago Bulls,SG,6-6,190,"Oct 27, 1997",27,Klutch Sports Group,Rich Paul,"Chicago Bulls, Feb 14, 2025",7
Paolo Banchero,Orlando Magic,PF,6-10,250,"Nov 12, 2002",22,LIFT Sports Management,Mike Miller,"Orlando Magic, Jul 1, 2022",2
Desmond Bane,Orlando Magic,SG,6-5,215,"Jun 25, 1998",27,,"Terrence Felder
Maxwell Wiepking","Orlando Magic, Jul 8, 2023",4
James Banks,Maine Celtics,C,6-10,250,"Jan 16, 1998",27,Verus Management,Aaron Turner,Unrestricted Free Agent,0
Dalano Banton,Portland Trail Blazers,PF,6-8,203,"Nov 7, 1999",25,Verus Management,Aaron Turner,"Portland Trail Blazers, Jul 17, 2023",3
